url, extraction, lexical, syntactic
https://www.imdb.com/name/nm0000997/bio,"Goose Creek, Texas",0,0
https://www.imdb.com/name/nm6161516/bio,"Charlottesville, Virginia, USA",1,1
https://www.imdb.com/name/nm0262869/bio,"San Francisco, California",1,1
https://www.imdb.com/name/nm2875873/bio,"London, England",1,1
https://www.imdb.com/name/nm0766912/bio,"Hollywood",0,1
https://www.imdb.com/name/nm1376654/bio,"Bombay, Maharashtra, India",0,1
https://www.imdb.com/name/nm1789970/bio,
https://www.imdb.com/name/nm2233310/bio,
https://www.imdb.com/name/nm0285569/bio,"Memphis, Tennessee",1,1
https://www.imdb.com/name/nm0005794/bio,
https://www.imdb.com/name/nm9622129/bio,"Westlake, Ohio, USA",1,1
https://www.imdb.com/name/nm0016465/bio,"New York City",0,1
https://www.imdb.com/name/nm1162227/bio,"Cape Verde Islands",0,0
https://www.imdb.com/name/nm0317036/bio,"Oakland, California, USA",1,1
https://www.imdb.com/name/nm0424644/bio,
https://www.imdb.com/name/nm11166211/bio,"Mountain View, California",0,1
https://www.imdb.com/name/nm2976050/bio,"Hungary",0,1
https://www.imdb.com/name/nm0156955/bio,"Suzhou, China",1,1
https://www.imdb.com/name/nm0002124/bio,"Houston, Texas, USA",1,1
https://www.imdb.com/name/nm1143816/bio,"New York, New York, USA",0,1
