url, extraction, lexical, syntactic
https://www.imdb.com/name/nm0000997/bio,"Angels Hard as They Come",1,1
https://www.imdb.com/name/nm0000997/bio,"The Buddy Holly Story",1,1
https://www.imdb.com/name/nm0000997/bio,"Big Wednesday",1,1
https://www.imdb.com/name/nm0000997/bio,"Lethal Weapon",1,1
https://www.imdb.com/name/nm0000997/bio,"Predator 2",0,0
https://www.imdb.com/name/nm0000997/bio,"Point Break",1,1
https://www.imdb.com/name/nm0000997/bio,"Under Siege",0,0
https://www.imdb.com/name/nm6161516/bio,"Riverdale",1,1
https://www.imdb.com/name/nm6161516/bio,"Palm Springs",1,1
https://www.imdb.com/name/nm6161516/bio,"Dangerous Lies",1,1
https://www.imdb.com/name/nm0262869/bio,"From the Earth to the Moon",0,0
https://www.imdb.com/name/nm0262869/bio,"Jeepers Creepers",1,1
https://www.imdb.com/name/nm2875873/bio,"The Soloist",0,0
https://www.imdb.com/name/nm2875873/bio,"Pride & Prejudice",0,0
https://www.imdb.com/name/nm2875873/bio,"Atonement",1,1
https://www.imdb.com/name/nm0766912/bio,"The Lady from Shanghai",1,1
https://www.imdb.com/name/nm0766912/bio,"The Loves of Carmen",1,1
https://www.imdb.com/name/nm0766912/bio,"The Lone Wolf in London",1,1
https://www.imdb.com/name/nm1376654/bio,"Ishq Vishk",1,1
https://www.imdb.com/name/nm1376654/bio,"Travel Channel's Culture Shock",1,1
https://www.imdb.com/name/nm1376654/bio,"MTV's Most Wanted",1,1
https://www.imdb.com/name/nm1376654/bio,"MTV Whatever Things",0,0
https://www.imdb.com/name/nm1376654/bio,"Culture Shock",1,1
https://www.imdb.com/name/nm1376654/bio,"The Great Indian Laughter Challenge",1,1
https://www.imdb.com/name/nm1376654/bio,"Umar",1,1
https://www.imdb.com/name/nm1376654/bio,"Aagey Se Right",0,0
https://www.imdb.com/name/nm1376654/bio,"Radio: Love on Air",0,0
https://www.imdb.com/name/nm1376654/bio,"One Life to Live",1,1
https://www.imdb.com/name/nm1376654/bio,"Luv Ka the End",1,1
https://www.imdb.com/name/nm1376654/bio,"The Networker",1,1
https://www.imdb.com/name/nm1376654/bio,"The Nightly Show with Larry Wilmore",1,1
https://www.imdb.com/name/nm1789970/bio,"Gypsy",0,0
https://www.imdb.com/name/nm1789970/bio,"Isabel Fish",0,0
https://www.imdb.com/name/nm2233310/bio,"Overwatch",1,1
https://www.imdb.com/name/nm2233310/bio,"Resident Evil: Damnation",0,0
https://www.imdb.com/name/nm2233310/bio,"Critical Role",1,1
https://www.imdb.com/name/nm0285569/bio,"Moonlighting",1,1
https://www.imdb.com/name/nm0285569/bio,"Cybill",1,1
https://www.imdb.com/name/nm0285569/bio,"The L Word",1,1
https://www.imdb.com/name/nm0285569/bio,"The Young and the Restless",1,1
https://www.imdb.com/name/nm0005794/bio,"Westward the Women",1,1
https://www.imdb.com/name/nm0005794/bio,"The Naked Spur",1,1
https://www.imdb.com/name/nm0005794/bio,"A Place in the Sun",1,1
https://www.imdb.com/name/nm0005794/bio,"Giant",1,1
https://www.imdb.com/name/nm0005794/bio,"Peyton Place",1,1
https://www.imdb.com/name/nm0005794/bio,"Bad Day at Black Rock",1,1
https://www.imdb.com/name/nm0005794/bio,"The Greatest Story Ever Told",1,1
https://www.imdb.com/name/nm9622129/bio,"Stay Tuned",1,1
https://www.imdb.com/name/nm9622129/bio,"Extra with Billy Bush",1,1
https://www.imdb.com/name/nm9622129/bio,"PyeongChang 2018: XXIII Olympic Winter Games",0,0
