#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.title,ltable.year,rtable.title,rtable.year,class_label
1,1,1,The Martian,2015,The Martian,2015,1
2728,5,61,The Intern(I),2015,The Intern,2015,1
21244,32,283,Me and Earl and the Dying Girl,2015,Me and Earl and the Dying Girl,2015,1
23758,36,549,The Hunger Games: Mockingjay - Part 2,2015,The Hunger Games: Mockingjay - Part 2,2015,1
24245,37,12,The Maze Runner,2014,Maze Runner: The Scorch Trials,2015,0
31947,49,141,Magic Mike XXL,2015,Magic Mike XXL,2015,1
33241,51,24,Guardians of the Galaxy,2014,Guardians of the Galaxy,2014,1
33448,51,478,Guardians of the Galaxy,2014,The Purge,2013,0
33721,51,1574,Guardians of the Galaxy,2014,The Spectacular Now,2013,0
41236,63,908,The Last Witch Hunter,2015,The Last Witch Hunter,2015,1
42133,65,156,Dope,2015,Dope,2015,1
42960,67,175,The Loft,2014,The Loft,2014,1
49085,76,67,The Dark Knight,2008,The Dark Knight,2008,1
49273,76,1720,The Dark Knight,2008,Scooby-Doo! and the Samurai Sword,2009,0
53279,82,649,Goosebumps,2015,Goosebumps,2015,1
54165,83,1845,The Perfect Guy,2015,Into the Grizzly Maze,2015,0
59632,92,226,Titanic,1997,Titanic,1997,1
59789,93,51,The Avengers,2012,The Avengers,2012,1
65736,102,9,Minions,2015,Minions,2015,1
66481,103,80,Poltergeist,2015,Poltergeist,2015,1
68406,105,1862,A Walk in the Woods,2015,A Walk in the Woods,2015,1
68655,106,117,Harry Potter and the Sorcerer's Stone,2001,Harry Potter and the Philosopher's Stone,2001,0
68661,106,224,Harry Potter and the Sorcerer's Stone,2001,Harry Potter and the Chamber of Secrets,2002,0
69782,109,27,John Wick,2014,John Wick,2014,1
71710,112,104,Mad Max,1979,Mad Max,1979,1
75560,121,194,Into the Woods,2014,We're the Millers,2013,0
76597,122,1269,Under the Skin(I),2013,The Railway Man,2013,0
77812,125,230,Pulp Fiction,1994,Pulp Fiction,1994,1
88844,142,415,One Flew Over the Cuckoo's Nest,1975,One Flew Over the Cuckoo's Nest,1975,1
95446,154,136,American Ultra,2015,American Ultra,2015,1
101692,165,485,Snow White and the Huntsman,2012,Snow White and the Huntsman,2012,1
102958,167,773,No Escape(I),2015,No Escape,2015,1
103728,171,63,Captain America: The Winter Soldier,2014,Captain America: The Winter Soldier,2014,1
105278,173,59,Child 44,2015,Child 44,2015,1
106206,175,155,The Final Girls,2015,The Final Girls,2015,1
107664,177,160,Thor,2011,Thor,2011,1
118565,198,24,The Theory of Everything,2014,Guardians of the Galaxy,2014,0
118742,198,385,The Theory of Everything,2014,The Conjuring,2013,0
119045,198,1574,The Theory of Everything,2014,The Spectacular Now,2013,0
126678,211,754,American Beauty,1999,American Beauty,1999,1
130066,217,510,Harry Potter and the Deathly Hallows: Part 2,2011,The Girl with the Dragon Tattoo,2011,0
